@relation LaLiga-Matches-csv

@attribute HomeTeam {'La Coruna','Sp Gijon','Ath Bilbao','Ath Madrid',Celta,Espanol,Merida,Sevilla,Valladolid,Vallecano,Zaragoza,Albacete,Barcelona,Betis,'Real Madrid',Compostela,Oviedo,Salamanca,Santander,Sociedad,Tenerife,Valencia,Hercules,Logrones,Extremadura,Mallorca,Alaves,Villareal,Malaga,Numancia,'Las Palmas',Osasuna,Villarreal,Recreativo,Murcia,Getafe,Levante,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Eibar,Cordoba,Leganes,Girona,Huesca}
@attribute AwayTeam {Valencia,Albacete,Santander,Sociedad,Compostela,Salamanca,Betis,Tenerife,Barcelona,'Real Madrid',Oviedo,Sevilla,Merida,Zaragoza,'Ath Bilbao','La Coruna',Vallecano,Celta,'Ath Madrid','Sp Gijon',Espanol,Valladolid,Extremadura,Logrones,Hercules,Mallorca,Villareal,Alaves,Malaga,Numancia,Villarreal,Osasuna,'Las Palmas',Recreativo,Murcia,Levante,Getafe,Cadiz,Gimnastic,Almeria,Xerez,Granada,Elche,Cordoba,Eibar,Leganes,Girona,Huesca}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute FTR {H,A,D}

@data
'Sp Gijon',Barcelona,0,3,A
Valladolid,Zaragoza,0,0,D
Compostela,'Ath Madrid',0,1,A
Valencia,'Sp Gijon',0,0,H
'Ath Bilbao',Albacete,1,0,D
Barcelona,Sevilla,0,1,D
Betis,Espanol,1,2,A
Oviedo,Celta,0,1,D
'Real Madrid','La Coruna',0,0,H
Salamanca,Santander,4,0,H
Tenerife,Sociedad,0,0,H
Vallecano,Valladolid,0,0,A
Zaragoza,Merida,1,1,H
Espanol,Oviedo,2,0,H
'Ath Madrid',Salamanca,1,0,H
Celta,Betis,0,0,H
'La Coruna',Oviedo,0,1,A
Merida,Vallecano,0,0,A
Santander,Tenerife,1,0,A
Sevilla,Valencia,0,1,A
Sociedad,Albacete,3,1,H
'Sp Gijon',Compostela,1,1,H
Valladolid,'Real Madrid',0,0,A
Zaragoza,'Ath Bilbao',0,0,H
Espanol,Barcelona,0,0,D
Tenerife,'Ath Madrid',0,0,D
Albacete,Santander,0,2,D
Barcelona,Celta,0,1,H
Betis,'La Coruna',1,0,H
Compostela,Sevilla,0,0,D
Oviedo,Valladolid,2,1,A
'Real Madrid',Merida,3,0,H
Salamanca,'Sp Gijon',3,0,H
Sociedad,'Ath Bilbao',2,1,D
Valencia,Espanol,0,0,H
Vallecano,Zaragoza,1,0,H
'Ath Bilbao',Vallecano,0,0,H
'Ath Madrid',Albacete,2,0,H
Celta,Valencia,0,1,D
Espanol,Compostela,0,0,D
Santander,Sociedad,2,2,A
Sevilla,Salamanca,1,0,H
'Sp Gijon',Tenerife,0,1,A
Valladolid,Betis,2,0,H
Zaragoza,'Real Madrid',0,1,A
'La Coruna',Barcelona,1,0,D
Merida,Oviedo,1,0,H
'La Coruna','Real Madrid',1,0,D
'Ath Madrid',Celta,0,0,H
Betis,'Ath Bilbao',1,0,H
Hercules,Extremadura,1,0,H
Oviedo,Barcelona,0,0,A
Santander,Valencia,0,2,H
Sociedad,Sevilla,1,0,H
Tenerife,Compostela,3,0,H
Vallecano,Valladolid,0,0,A
Zaragoza,Logrones,1,0,D
Espanol,'Sp Gijon',2,0,A
Barcelona,Espanol,0,0,H
Compostela,'Ath Madrid',1,1,H
Logrones,Tenerife,0,1,A
Valencia,Sociedad,0,1,A
'Ath Bilbao',Vallecano,0,1,H
Celta,'La Coruna',0,1,D
'Real Madrid',Hercules,2,0,H
Sevilla,Zaragoza,0,1,A
'Sp Gijon',Santander,0,1,A
Valladolid,Oviedo,0,0,A
Extremadura,Betis,0,0,A
Zaragoza,Valencia,1,1,D
'Ath Madrid','La Coruna',0,0,A
Compostela,Logrones,1,1,A
Espanol,Valladolid,1,0,H
Hercules,Celta,0,2,A
Oviedo,'Ath Bilbao',0,0,H
Santander,Barcelona,0,1,D
Sociedad,'Sp Gijon',1,1,D
Tenerife,Sevilla,0,1,A
Vallecano,Extremadura,2,0,H
Betis,'Real Madrid',1,1,D
'Ath Bilbao',Espanol,1,0,D
Logrones,'Ath Madrid',0,2,A
Valencia,Tenerife,0,0,H
Valladolid,Santander,1,0,H
Barcelona,Sociedad,1,0,H
Celta,Betis,0,0,A
Extremadura,Oviedo,0,2,A
'La Coruna',Hercules,3,0,H
'Real Madrid',Vallecano,1,0,H
'Sp Gijon',Zaragoza,2,0,H
Sevilla,Compostela,0,0,A
Betis,'La Coruna',1,0,A
Espanol,Extremadura,3,0,H
Santander,'Ath Bilbao',1,0,A
Sociedad,Valladolid,0,0,D
Compostela,Valencia,0,0,A
Logrones,Sevilla,1,0,H
Oviedo,'Real Madrid',1,3,A
Tenerife,'Sp Gijon',3,0,H
Vallecano,Celta,1,0,H
Zaragoza,Barcelona,2,1,A
'Ath Madrid',Hercules,1,0,H
'Real Madrid',Espanol,2,0,H
'Ath Bilbao',Sociedad,1,2,A
Barcelona,Tenerife,0,0,D
Celta,Oviedo,2,0,H
Extremadura,Santander,0,1,A
Hercules,Betis,0,0,A
'La Coruna',Vallecano,0,0,D
'Sp Gijon',Compostela,1,0,D
Valencia,Logrones,0,1,A
Valladolid,Zaragoza,1,0,D
Sevilla,'Ath Madrid',0,0,D
'Ath Madrid',Betis,2,1,D
Compostela,Barcelona,0,3,A
Espanol,Celta,0,0,D
Sevilla,Valencia,0,1,A
Tenerife,Valladolid,0,1,A
Zaragoza,'Ath Bilbao',0,1,D
Logrones,'Sp Gijon',0,1,A
Oviedo,'La Coruna',0,0,A
Santander,'Real Madrid',0,0,D
Sociedad,Extremadura,2,0,H
Vallecano,Hercules,2,1,H
'Ath Bilbao',Tenerife,1,0,H
Extremadura,Zaragoza,1,0,H
Hercules,Oviedo,0,1,D
'La Coruna',Espanol,0,0,H
'Real Madrid',Sociedad,2,1,H
Valladolid,Compostela,2,0,H
Barcelona,Logrones,4,0,H
Betis,Vallecano,1,0,H
Celta,Santander,0,0,D
Valencia,'Ath Madrid',1,0,H
'Sp Gijon',Sevilla,0,1,D
Zaragoza,'Real Madrid',0,1,A
'Ath Madrid',Vallecano,0,1,A
Compostela,'Ath Bilbao',0,0,D
Espanol,Hercules,0,0,H
Logrones,Valladolid,0,1,A
Oviedo,Betis,1,1,D
Santander,'La Coruna',0,0,D
Sevilla,Barcelona,0,0,A
Sociedad,Celta,1,0,A
Tenerife,Extremadura,2,1,H
Valencia,'Sp Gijon',1,1,H
Barcelona,Valencia,2,0,H
Betis,Espanol,1,2,A
'Real Madrid',Tenerife,0,0,D
'Sp Gijon','Ath Madrid',0,0,A
'Ath Bilbao',Logrones,4,0,H
Celta,Zaragoza,0,0,D
Extremadura,Compostela,1,1,D
Hercules,Santander,0,1,A
'La Coruna',Sociedad,1,0,H
Vallecano,Oviedo,2,1,D
Valladolid,Sevilla,0,0,A
Santander,Betis,0,0,D
'Ath Madrid',Oviedo,1,0,H
Compostela,'Real Madrid',0,1,A
Espanol,Vallecano,0,0,D
Logrones,Extremadura,0,0,D
Sevilla,'Ath Bilbao',2,1,H
Sociedad,Hercules,1,1,H
Tenerife,Celta,0,0,D
Valencia,Valladolid,1,2,A
Zaragoza,'La Coruna',1,1,A
'Sp Gijon',Barcelona,0,0,D
Barcelona,'Ath Madrid',2,1,D
'Ath Bilbao',Valencia,1,0,H
Betis,Sociedad,1,1,H
Celta,Compostela,1,1,A
Extremadura,Sevilla,0,1,A
Hercules,Zaragoza,0,0,D
'La Coruna',Tenerife,0,0,D
Oviedo,Espanol,1,1,H
'Real Madrid',Logrones,0,0,D
Vallecano,Santander,0,0,D
Valladolid,'Sp Gijon',0,0,H
'Ath Madrid',Espanol,0,0,H
Compostela,'La Coruna',0,0,D
Tenerife,Hercules,0,0,H
Valencia,Extremadura,0,0,D
Logrones,Celta,0,0,A
Santander,Oviedo,0,0,H
